project	issue_key	issue_type	summary	description	label
MESOS	MESOS-10069	Task	Consider modifying Process_BENCHMARK_ClientServer to compare socket performance on the new OpenSSL socket implementation	"There is a pre-existing benchmark in the libprocess benchmarks.cpp file called {{Process_BENCHMARK_ClientServer}}.  We could have this benchmark make HTTPS connections en-masse as well, to check performance differences between the different implementations of our sockets.    We will have the following implementations:  * Libevent + OpenSSL (Posix & Windows)  * Libev + OpenSSL (Posix)  * Native Windows event loop + OpenSSL    Since the new OpenSSL socket defers work off onto libprocess worker threads, it will be interesting to see if performance improves or not."	Not Design
DM	DM-27267	Story	Fix docstring and comments in utils/funcPolynomial	"The docstring on {{funcPolynomial}} is pretty weird, claims to return a covariance. Also there's a random (to me, at least) comment on the {{return}} line too saying {{  # C_00}}"	Not Design
CONFSERVER	CONFSERVER-60303	Bug	Release builds put next snapshot version in the tar source pom	"[https://my.<USER>download/source/confluence] in the pom.xml in these files point to the next development version eg. for 7.5.1 release it points to 7.5.2-SNAPSHOT."	Not Design
DNN	DNN-10770	Bug	Themes:Installing these themes from Manage> themes make it on site level only; "20047-UnlimitedColorPack-033-DNN6_7"& others	"*+Steps:+*  # Login to DNN_Platform_9.2.0.348-740 as host.  #  From PB, go to Manage>Themes.  # Try to install this theme: 20047-UnlimitedColorPack-033-DNN6_7.  # Notice where it is placed after installation.  # Repeat for ""20063-UnlimitedColorsPack-045-DNN6_7"" theme.    *+Result:+*  - You'll find a new section created as site themes and the installed theme is placed under it, which is not correct.  - Note: If you made the installation from settings>extensions, the theme will be added under global themes.  - This behavior exist in these theme:  *- 20047-UnlimitedColorPack-033-DNN6_7  *- 20063-UnlimitedColorsPack-045-DNN6_7  *- WJ0046_Dark_Light_DNN5_6_7  This sounds a general issue.    *+Expected+*:  For listed themes:  - Themes are supposed to be installed under global themes and should be shared between sites, which can't be done in the bug case because they get installed under site themes.  Note: Only host can install extensions/themes, so themes should always be shared between sites inside same installation  Note: Install theme button was *not* in 9.1.1.129  Note: I found out some customers are asking for such a feature not sure if this is an implementation for that request or just an issue: http://www.dnnsoftware.com/forums/threadid/535787/scope/posts/dnn-9-missing-feature-portal-level-theme       !image-2018-02-19-14-40-37-501.png|thumbnail!   Central Jira Link: https://jira.devfactory.com/browse/DNN-17014  "	Not Design
TIMOB	TIMOB-28054	Bug	WebPack (Android/IOS) : .tss changes do not show up after app rebuild	"h5.Steps to reproduce:  1. Create a default alloy app & migrate it to webpack.  2. Build it to device.  3. Change the window {{backGroundColor}} & rebuild.   4. Now add a new label in the index.xml & rebuild.   5. Add styling for the new label in index.tss & rebuild.   6. Now go to the web dashboard for the webpack & stop the build for the app & rebuild.     h5.Actual result:  3. After the app launches no change in color is seen.  4. The new label is seen.  5. No changes are seen.  6. Changes to .tss file are seen.  NOTE: If the build is stopped from the web url & rebuilt, The changes in the {{.tss}} files are seen.    h5.Expected Results:  1. The changes to the {{.tss}} file should be visible after app rebuild."	Not Design
JRASERVER	JRASERVER-71586	Suggestion	Regarding perforamcne issues	"Hi Team,    Some team members facing login page loading and it will take longer time and after it's loads, works normal.     Can we know the reason for this type performance issues.    Let me know any details required on the same.     "	Design
MESOS	MESOS-10141	Epic	CSI External Volume Support	"This epic tracks work for our MVP of external volume support in Mesos using the CSI standard."	Design
FAB	FAB-18236	Bug	The description of the error is incorrect.	"The description of the error is incorrect. An error must be issued according to the transaction type."	Not Design
FAB	FAB-18169	Task	DevMode - Modify chaincode endorsement to support DevMode	"In order to support DevMode with new lifecycle, chaincode endorsement info need to be slightly modified.     As when developer running the DevMode, chaincode will be launched by developer, and it will not be installed and launched by peer. When `CachedChaincodeInfo`, `InstallInfo` will be missing when DevMode is enabled, and this behavior need to be handled and returned correctly.          Acceptance:   * Have correct behavior for `CachedChaincodeInfo` and `ChaincodeEndorsementInfo` when DevMode is enabled.   * Have unit test coverage to test behavior of `ChaincodeEndorsementInfoSource` when DevMode is enabled."	Not Design
DNN	DNN-10765	Bug	Portal Level themes are still not using PortalID-System/Skins folder	"Version 9.1.1 (upgraded)  Tried to manually use Theme on portal level by copying it in folder [PortalID]-System/Skins having it in DB PortalSettings table as [L]Skins/  The system looks for the Themes in folder [PortalID]/Skins instead of [PortalID-System]    I have reported this before on 30Jan107 (more than 1 year ago) and it was closed as duplicate for a newer one?!  https://dnntracker.atlassian.net/browse/DNN-9327  "	Not Design
DM	DM-24341	Epic	AP Pipeline infrastructure improvements during S20B	"To include:    * Work on science data model tooling;  * Conversion to, and work on, Gen3 middleware."	Design
NEXUS	NEXUS-25205	Bug	If maven group or artifact name name contains "SNAPSHOT" then it is considered a maven snapshot	"If maven group or artifact name contains ""SNAPSHOT"" then Nexus 2 considers it to be maven snapshot and fails generate the maven-metadata.xml    The artifact get uploaded to maven release repository, but fails to generate the maven-metadata.xml    Below is an example to reproduce:         The artifacts are uploaded but maven-metadata.xml fails to generate.        Nexus 2 should only check for ""-SNAPSHOT"" in version, not in maven group or artifact name. Nexus 3 does *not* have this same issue.    "	Not Design
JRASERVER	JRASERVER-71621	Bug	Editing a Jira link in a Slack thread results in Issue unfurling in main room	"h3. Issue Summary    When editing a Jira link in a thread, the edited Issue unfurls in the main room instead of unfurling again in the thread.  h3. Steps to Reproduce   # Start a thread.    # post a Jira link in the thread with unfurling enabled.    # edit the Jira link.     h3. Expected Results    The edited link unfurls again in the thread.   h3. Actual Results    The link unfurls in the main room   h3. Workaround    Currently there is no known workaround for this behavior. A workaround will be added here when available"	Not Design
NEXUS	NEXUS-24998	Bug	Continuation token fails intermittently with 406 response but then eventually works.	"Continuation token fails intermittently with 406 response when using Search REST API but then eventually works.    Issue started to happen after upgrading to Nexus 3.26.1. Did not have this problem on version 3.25.0, so this is a regression.    This is the request:        Nexus log show the following warning:    Eventually the same call works:  "	Not Design
